
[Name]
parachute_model_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-5.43522043e-03, -4.25047696e-01, -1.07545750e-02, -7.54285955e+00
-5.07416436e-03, -4.25047696e-01, -1.09295631e-02, -7.25716782e+00
-5.25518181e-03, -4.24626678e-01, -1.08436877e-02, -7.52879906e+00
-4.01825091e-04, -4.25047696e-01, 1.20432982e-02, -1.93090458e+01
5.25724934e-03, -4.24608380e-01, -1.08426856e-02, -1.18732595e+00
5.07462537e-03, -4.25047696e-01, -1.09293498e-02, -1.58847427e+00
5.43569773e-03, -4.25047696e-01, -1.07543338e-02, -1.07793343e+00
1.05688618e-02, -4.25047696e-01, -5.78806177e-03, -1.40430832e+00
1.04721617e-02, -4.24626321e-01, -5.96123468e-03, -1.39706981e+00
1.03702890e-02, -4.25047696e-01, -6.13674195e-03, -1.40418923e+00
1.13291796e-02, -4.24737126e-01, 4.10514278e-03, -7.31406498e+00
-1.15110194e-02, -4.25047696e-01, 3.56355566e-03, 1.37331200e+01
-1.16232904e-02, -4.25047696e-01, 3.17830523e-03, 1.50105848e+01
-1.16153145e-02, -4.24780339e-01, 3.20733036e-03, 1.51331863e+01
-1.19804507e-02, -4.24594492e-01, -1.29279157e-03, 2.03425083e+01
1.13232788e-02, -4.24673736e-01, -4.12139110e-03, -1.65107119e+00
-1.19431308e-02, -4.25047696e-01, 1.60129205e-03, 1.86932316e+01
5.43513661e-03, -4.25047696e-01, 1.07546169e-02, -1.92360687e+01
5.07402793e-03, -4.25047696e-01, 1.09296264e-02, -1.88393326e+01
5.25926799e-03, -4.24626946e-01, 1.08417068e-02, -1.90320511e+01
1.15577113e-02, -4.24736440e-01, 3.40907741e-03, -6.57367086e+00
-1.13844182e-02, -4.25047696e-01, -3.94937024e-03, 1.47794828e+01
-1.12465955e-02, -4.25047696e-01, -4.32626624e-03, 1.38293247e+01
-1.13274613e-02, -4.24774021e-01, -4.10988042e-03, 1.43879166e+01
-1.12481099e-02, -4.25047696e-01, 4.32232814e-03, 1.07076731e+01
