ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
31721,-0.00026385486,-0.00034978986,0.0009353161,0.0021461695,-0.0018175095
31722,-0.056239784,-0.059084877,-0.06008003,-0.058989324,-0.059104696
31723,-0.041867763,-0.0435448,-0.04541844,-0.043078214,-0.04351848
31724,0.044411104,0.045687813,0.048199903,0.04918708,0.04383813
31725,0.06460454,0.06358598,0.06534274,0.06570257,0.060702633
31726,0.0016158042,0.0017102845,0.00010368228,0.0019014962,0.00034797937
31727,-0.060665935,-0.060106017,-0.060422074,-0.06036914,-0.06087468
31728,-0.041406617,-0.042660654,-0.044748195,-0.04249314,-0.044957362
31729,0.047905676,0.046504956,0.04470528,0.048129432,0.046834327
31730,0.06350905,0.06262535,0.06110093,0.06544771,0.062356338
31731,0.0017473511,0.00091487914,5.774945e-05,0.0011492744,0.0009488836
31732,-0.057554398,-0.061672628,-0.06801186,-0.05963856,-0.060792617
31733,-0.04176578,-0.043356273,-0.0488799,-0.040711634,-0.042209644
31734,0.046147995,0.047497906,0.048700515,0.045709275,0.048209723
31735,0.062210903,0.06115362,0.062161803,0.061829478,0.061405264
31736,0.0028029978,0.0010946542,0.0008549392,0.0035167485,0.0019847155
31737,-0.057074368,-0.059937924,-0.062499687,-0.059325933,-0.060990438
31738,-0.04130937,-0.04254988,-0.039858043,-0.042300314,-0.042356357
31739,0.045470484,0.044198304,0.04718917,0.04637652,0.043768905
31740,0.07310806,0.07335477,0.06896336,0.07110949,0.07109563
31741,0.0021235384,0.0019179955,0.0026773885,4.4755638e-05,0.0004237434
31742,-0.073054135,-0.07739028,-0.07192085,-0.07312765,-0.078351244
31743,-0.029902011,-0.031541184,-0.029772148,-0.02973415,-0.032504708
31744,0.03633499,0.037534,0.038484722,0.037544712,0.036760747
31745,0.047241285,0.048868284,0.052168414,0.05010636,0.050038576
